"PostId","PostUrl","PostEngagement","Platform","ChannelID","ChannelName","ChannelUid","ChannelUrl","ChannelEngagement","post_body_text","GoogleAudioText","VoskAudioText","EmbeddedContentText","published_at","post_data","post_media_urls","LikesCount","SharesCount","CommentsCount","ViewsCount","post_media_file","embedded_post_text","search_data","sentiment"
"458936458","https://www.facebook.com/IndianaPublicRadio/posts/pfbid02yB3iUpKx1pzoRF7wrP4YrU7TrQbkDG8KD3kx5DFRYDBVH3NbqdDLcF6DxGBL9rCEl","","Facebook","29409795","Indiana Public Radio","blank_for_now","blank_for_now","{""follower_count"":3700,""following_count"":null,""like_count"":3359,""post_count"":null,""views_count"":null,""comment_count"":null,""share_count"":null}","This weekend on The Facing Project:

A Georgia woman sex trafficked as a teenager shares her story and inspires a kiosk to educate air travelers in the Hartsfield-Jackson Atlanta International Airport, while a woman in Kansas who struggled to feed her children influences the development of an on-campus food pantry; and an Indiana man facing the end of his life reflects on the legacy he’ll leave behind, while an individual in Texas who lost the love of their life starts over in a new community in Indiana.

Tune in to IPR at 1 p.m. Saturday and 7 p.m. Sunday, or access anytime at indianapublicradio.org/thefacingproject, Apple Podcasts, Spotify or NPR Podcasts"," ","no longer populated","","2025-03-14T18:36:22.000Z","post data removed","https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCUG1DS0RjPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c929926b27259a8df47783536adf1a23354bcb94/post-29409795-458936458-thumbnail","3","0","0.0","0.0","","","","0.6597"
"455895406","https://www.facebook.com/saportareport/posts/pfbid0qaAU5zF8u9wWFjnELMCxBRCmqgWiC1qvTDW8m57NC1aKWnGvxdZAobS7nSpSkXUHl","","Facebook","30245494","SaportaReport","blank_for_now","blank_for_now","{""follower_count"":5800,""following_count"":null,""like_count"":5455,""post_count"":null,""views_count"":null,""comment_count"":null,""share_count"":null}","ICYMI:  Employees of Concessions International - the Hartsfield-Jackson Atlanta International Airport food and beverage management firm - were showered with appreciation during a luncheon celebrating the company’s 45th anniversary"," ","no longer populated","","2025-03-10T16:21:04.000Z","post data removed","https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCTlVQMGpZPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--86d4d5f5b8d76aa8f65fb181d2b0d65b4a170823/post-30245494-455895406-thumbnail","0","0","0.0","0.0","","","","0.7906"
"455306415","https://t.me/newsforce/57954","","Telegram","26507888","NEWSFORCE 🌎","blank_for_now","blank_for_now","{""follower_count"":13372,""following_count"":0,""like_count"":0,""post_count"":18046,""views_count"":14125627,""comment_count"":53,""share_count"":1834}","All Unions have to go. UNCONSTITUTIONAL!No longer allowed. Part of the bankrupt inc system. But TSA needs to be at the forefront and given immediate attention. They are a smoke screen for the cabal to plug in another gov compartment to siphon more money illegally. This was a ""bonus"" they put in place for themselves when they took down our Twin Towers on 9-11. AND violated your 4th ammendment right. 📜 🖊 Time for the days of happiness to come back. When you take someone to the airport & you can go all the way to the gate with them. The days when someone was coming home and the whole family could be standing at the gate with cool signs of ""welcome home"" when you get off the aircraft. Time for the days when you could bring WHATEVER food & drink that you wanted all the way to the aircraft. And the BIGGIE! ""YOUR 4th amendment right"" to fly without search or seizure of you or your things. And that is what the military is doing.  <a href=""https://www.travelandtourworld.com/news/article/american-delta-united-southwest-airlines-jetblue-and-more-could-face-impact-as-trump-backs-move-to-end-tsa-union-agreement-which-may-affect-hartsfield-jackson-atlanta-los-angeles-chicago-o/https://t.me/NEWSFORCE"">https://www.travelandtourworld.com/news/article/american-delta-united-southwest-airlines-jetblue-and-more-could-face-impact-as-trump-backs-move-to-end-tsa-union-agreement-which-may-affect-hartsfield-jackson-atlanta-los-angeles-chicago-o/https://t.me/NEWSFORCE</a> 🌎"," ","no longer populated","","2025-03-09T14:47:17.000Z","post data removed","https://telegram-message-media-0205463676.s3.us-east-1.amazonaws.com/newsforce/57954/newsforce_57954_thumbnail_url.jpg","0","0","0.0","652.0","","","","0.9059"
"437307118","https://www.youtube.com/watch?v=2wLDW6G0CqM","","YouTube","3674","Atlanta News First ","blank_for_now","blank_for_now","{""follower_count"":383000,""following_count"":0,""like_count"":1714533,""post_count"":51215,""views_count"":274415775,""comment_count"":516114,""share_count"":0}","The drivers held a strike on Valentine's Day, a popular day for ordering food or going out.

SUBSCRIBE and turn on notifications so you don't miss any videos: https://bit.ly/3SS3Avs 

For more stories check out  https://www.atlantanewsfirst.com/ 

FOLLOW US for more! 
Like Atlanta News First on Facebook: https://bit.ly/3EcIseI 
Follow Atlanta News First on Twitter: https://bit.ly/3SQcVmV 
Follow Atlanta News First Instagram: https://bit.ly/3rdWMMg 
Follow Atlanta News First Tik Tok: https://bit.ly/3RC8U4p"," ","no longer populated","","2025-02-14T17:56:40.000Z","post data removed","https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSFF5eURRPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c1a8359de140eb11a4966065e77f0a8f6052cc5e/post-3674-437307118-thumbnail","10","0","0.0","279.0","","","","0.7263"
"413741657","https://www.facebook.com/ajc/posts/pfbid0tZzfKEStjjxSCd4CfjKM8RtGVEH6FfETSXnt9gTEkGrJTruAL4VhDxm9tnJcggv3l","","Facebook","16547580","The Atlanta Journal-Constitution","blank_for_now","blank_for_now","{""follower_count"":878628,""following_count"":0,""like_count"":1531,""post_count"":26,""views_count"":0,""comment_count"":628,""share_count"":55}","The mayor’s office announced last week that Chief Procurement Officer Jaideep Majumdar left to “pursue other opportunities.”"," ","no longer populated","","2025-01-13T21:00:14.000Z","post data removed","","10","0","5.0","0.0","","","","0.0"
"413330071","https://twitter.com/AtlNewsNow/status/1878819315597619403","","Twitter","13396500","Atlanta News","blank_for_now","blank_for_now","{""follower_count"":17799,""following_count"":1076,""like_count"":670,""post_count"":42545,""views_count"":360081,""comment_count"":262,""share_count"":613}","The procurement process has been under fire, particularly over retail and food vendor contracts at Hartsfield Jackson-International airport. https://t.co/qi72npudHo"," ","no longer populated","","2025-01-13T15:00:06.000Z","post data removed","","1","0","0.0","189.0","","","","-0.34"
"413330074","https://twitter.com/AtlNewsNow/status/1878818781583056977","","Twitter","13396500","Atlanta News","blank_for_now","blank_for_now","{""follower_count"":17799,""following_count"":1076,""like_count"":670,""post_count"":42545,""views_count"":360081,""comment_count"":262,""share_count"":613}","Atlanta procurement chief steps down amid criticism of city contracting https://t.co/GXNm3gIMx5"," ","no longer populated","","2025-01-13T14:57:58.000Z","post data removed","","0","0","0.0","129.0","","","","-0.4404"
"395297695","https://www.instagram.com/p/DDvdHOmt_58/","","InstagramDirect","28936778","Spiritual Word","blank_for_now","blank_for_now","{""follower_count"":2881408,""following_count"":1796,""like_count"":12116117,""post_count"":72407,""views_count"":226048845,""comment_count"":1601359,""share_count"":0}","The American Express Centurion Lounge at Hartsfield-Jackson Atlanta International Airport, which had been eagerly awaited by travelers throughout the year, has failed its recent health inspection with a score of just 69.

The inspection, conducted by local health authorities, revealed several violations that led to the lounge’s low score. Among the cited issues were uncovered food items, which pose a risk of contamination, an unclean ice machine, which could compromise beverage safety, and the presence of flies near the bar area, indicating potential pest control problems.

This development has raised concerns among frequent flyers and airport visitors who had looked forward to the luxury and exclusivity promised by the Centurion Lounge. American Express officials have not yet responded to requests for comment on the inspection results or on what steps will be taken to address these health and safety issues.

Local health officials have emphasized the importance of maintaining high hygiene standards in public spaces, especially in high-traffic areas like airports. They have indicated that follow-up inspections will be conducted to ensure compliance with health regulations.

Travelers are advised to stay informed on the status of the lounge before planning to visit. Meanwhile, the airport authority has assured the public that they are committed to upholding the health and safety standards across all facilities within Hartsfield-Jackson Atlanta International Airport."," ","no longer populated","","2024-12-19T01:27:34.000Z","post data removed","","-1","0","541.0","0.0","","","","0.8834"
"395555811","https://www.facebook.com/reel/1776537482918606/","","Facebook","30249408","Meals On Wheels Atlanta","blank_for_now","blank_for_now","{""follower_count"":3700,""following_count"":null,""like_count"":3395,""post_count"":null,""views_count"":null,""comment_count"":null,""share_count"":null}","Purposeful Gourmet Foods has landed at Hartsfield-Jackson International Airport! ✈️

Our gourmet candied pecans are now available in six locations across concourses A, E, F, T, and the Atrium. These crowd-pleasing  treats are the perfect carry-on for your loved ones (or yourself). Every purchase and every bite helps us deliver nutritious meals to seniors facing hunger and social isolation.

 #ATLAirport #HolidayGifts #SnackWithPurpose"," music","no longer populated","","2024-12-18T20:30:40.000Z","post data removed","","2","1","0.0","6.0","https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCTWdEdGpBPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--9cc85415a65b9ffd496020dce039d630dff80b31/m69","","","0.7777"
"395114158","https://www.instagram.com/p/DDu7CeeB6-9/","","InstagramDirect","29017167","Meals On Wheels Atlanta","blank_for_now","blank_for_now","{""follower_count"":8254,""following_count"":1781,""like_count"":26333,""post_count"":1171,""views_count"":774633,""comment_count"":1537,""share_count"":0}","Purposeful Gourmet Foods has landed at Hartsfield-Jackson International Airport! ✈️

Our gourmet candied pecans are now available in six locations across concourses A, E, F, T, and the Atrium. These crowd-pleasing  treats are the perfect carry-on for your loved ones (or yourself). Every purchase and every bite helps us deliver nutritious meals to seniors facing hunger and social isolation. ✨

 #ATLAirport #HolidayGifts #SnackWithPurpose"," Alright.","no longer populated","","2024-12-18T20:30:22.000Z","post data removed","","38","0","4.0","224.0","","","","0.8439"
